Name;Definition;Img;Type
" ""Chef""";a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc;https://pixabay.com/vi/photos/nh%C3%A0-b%E1%BA%BFp-%C4%91%E1%BA%A7u-b%E1%BA%BFp-th%E1%BB%B1c-ph%E1%BA%A9m-%C4%91%C3%A8n-81493/;Work
" ""Teacher""";a person whose job is teaching, especially in a school;https://pixabay.com/vi/photos/gi%C3%A1o-vi%C3%AAn-n%E1%BB%AF-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-sinh-vi%C3%AAn-1280966/;Work
" ""Guitarist""";a person who plays the guitar.;https://pixabay.com/vi/photos/ban-nh%E1%BA%A1c-bu%E1%BB%95i-h%C3%B2a-nh%E1%BA%A1c-2179313/;Work
" ""Waiter""";" ""a person whose job is to serve customers at their tables in a restaurant, etc.""";https://pixabay.com/vi/illustrations/nh%C3%A2n-v%E1%BA%ADt-ho%E1%BA%A1t-h%C3%ACnh-b%E1%BB%93i-b%C3%A0n-%C3%BD-t%C6%B0%E1%BB%9Fng-2947794/;Work
" ""Doctor""";a person who has been trained in medical science, whose job is to treat people who are ill or injured;https://pixabay.com/vi/vectors/c%E1%BA%ADu-b%C3%A9-phim-ho%E1%BA%A1t-h%C3%ACnh-2027768/;Work
" ""Driver""";a person who drives a vehicle;https://pixabay.com/vi/photos/xe-%C4%91%E1%BA%A1p-cu%E1%BB%99c-%C4%91ua-nhanh-xe-m%C3%A1y-biker-3319660/;Work
" ""Farmer""";a person who owns or manages a farm;https://pixabay.com/vi/vectors/n%C3%B4ng-d%C3%A2n-lao-%C4%91%E1%BB%99ng-n%C3%B4ng-th%C3%B4n-148325/;Work
" ""Photographer""";a person who takes photographs, especially as a job;https://pixabay.com/vi/vectors/ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-nhi%E1%BA%BFp-%E1%BA%A3nh-gia-37500/;Work
" ""Lawyer""";a person who is trained and qualified to advise people about the law and to represent them in court, and to write legal documents;https://pixabay.com/vi/vectors/lu%E1%BA%ADt-s%C6%B0-m%C3%A0u-%C4%91en-v%C3%A0-tr%E1%BA%AFng-ng%C6%B0%E1%BB%9Di-28782/;Work
" ""Engineer""";" ""a person whose job involves designing and building engines, machines, roads, bridges, etc.""";https://pixabay.com/vi/vectors/k%E1%BB%B9-s%C6%B0-ki%E1%BA%BFn-tr%C3%BAc-s%C6%B0-ng%C6%B0%E1%BB%9Di-k%E1%BA%BF-ho%E1%BA%A1ch-296438/;Work
" ""Beef""";meat that comes from a cow;"https://pixabay.com/vi/photos/b%C3%ADt-t%E1%BA%BFt-rumpsteak-li%E1%BB%87u-th%E1%BB%8Bt-b%C3%B2-2975323/""";Food
" ""Cupcake""";" ""?a small cake, baked in a paper container that is like a cup in shape and often with icing on top""";https://pixabay.com/vi/photos/b%C3%A1nh-n%C6%B0%E1%BB%9Bng-x%E1%BB%91p-n%C6%B0%E1%BB%9Bng-cupcake-ngon-1329679/;Food
" ""Hotdog""";a hot sausage served in a long bread roll;https://pixabay.com/vi/photos/hotdog-th%E1%BB%B1c-ph%E1%BA%A9m-x%C3%BAc-x%C3%ADch-m%C3%B9-t%E1%BA%A1t-4589626/;Food
" ""Salad""";" ""a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal""";https://pixabay.com/vi/photos/rau-di%E1%BA%BFp-h%E1%BB%97n-h%E1%BB%A3p-x%C3%A0-l%C3%A1ch-1812349/;Food
" ""Soup""";" ""?a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal""";https://pixabay.com/vi/photos/s%C3%BAp-b%C3%AD-ng%C3%B4-d%E1%BB%ABa-s%C3%BAp-b%C3%AD-ng%C3%B4-%C4%83n-chay-1787997/;Food
" ""French Fry""";" ""a long thin piece of potato fried in oil or fat""";https://pixabay.com/vi/photos/khoai-t%C3%A2y-chi%C3%AAn-mu%E1%BB%91i-th%E1%BB%B1c-ph%E1%BA%A9m-923687/;Food
" ""Chip""";a long thin piece of potato fried in oil or fat;"https://pixabay.com/vi/photos/chip-munchies-pringles-843993/""";Food
" ""Pizza""";" ""an Italian dish consisting of a flat round bread base with cheese, tomatoes, vegetables, meat, etc. on top""";"https://pixabay.com/vi/photos/b%C3%A1nh-pizza-th%E1%BB%B1c-ph%E1%BA%A9m-%C3%BD-n%C6%B0%E1%BB%9Bng-3007395/""";Food
" ""Spaghetti""";?pasta in the shape of long thin pieces that look like string when they are cooked;"https://pixabay.com/vi/photos/spaghetti-m%C3%AC-%E1%BB%91ng-th%E1%BB%B1c-ph%E1%BA%A9m-nh%C3%A0-h%C3%A0ng-863304/""";Food
" ""Turkey"""; a large bird that is often kept for its meat, eaten especially at Christmas in the UK and at Thanksgiving in the US ;https://pixabay.com/vi/photos/g%C3%A0-t%C3%A2y-th%E1%BB%B1c-ph%E1%BA%A9m-t%E1%BA%A1-%C6%A1n-truy%E1%BB%81n-th%E1%BB%91ng-5069219/;Food
" ""Milkshake""";?a drink made of milk, and sometimes ice cream, with the added taste of fruit or chocolate, which is mixed or shaken until it is full of bubbles;https://pixabay.com/vi/vectors/milkshake-n%C3%A2u-s%C3%B4-c%C3%B4-la-r%C6%A1m-u%E1%BB%91ng-34316/;Drink
"""Tea""";the dried leaves (called tea leaves) of the tea bus;https://pixabay.com/vi/vectors/tr%C3%A0-teabag-c%E1%BB%91c-r%E1%BB%97ng-k%C3%ADnh-25198/ ;Drink
" ""Coffee""";a hot drink made from coffee powder and boiling water. It may be drunk with milk and/or sugar added.;https://pixabay.com/vi/vectors/c%C3%A0-ph%C3%AA-c%E1%BB%91c-h%C3%BAt-thu%E1%BB%91c-n%C3%B3ng-u%E1%BB%91ng-34251/;Drink
"""Beer""";an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.;https://pixabay.com/vi/vectors/bia-c%E1%BB%91c-%C4%91%E1%BA%A7y-%C4%91%E1%BB%A7-b%E1%BB%8Dt-u%E1%BB%91ng-k%C3%ADnh-26722/;Drink
" ""Hot chocolate""";"a drink made by mixing chocolate powder with hot water or milk; a cup of this drink";https://pixabay.com/vi/vectors/s%C3%B4-c%C3%B4-la-n%C3%B3ng-pha-c%C3%A0-ph%C3%AA-s%C3%B4-c%C3%B4-la-576418/;Drink
" ""Milk""";the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans;https://pixabay.com/vi/vectors/s%E1%BB%AFa-chai-n%C6%B0%E1%BB%9Bc-gi%E1%BA%A3i-kh%C3%A1t-tr%E1%BA%AFng-576439/;Drink
" ""Soda""";fizzy water (= water with bubbles) used as a drink on its own or to mix with alcoholic drinks or fruit juice (originally made with sodium bicarbonate);htpps://pixabay.com/vi/vectors/s%C3%A1u-g%C3%B3i-%C4%91%E1%BB%93-u%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ng%E1%BB%8Dt-bia-lon-25200/;Drink
" ""Juice""";"the liquid that comes from fruit or vegetables; a drink made from this";https://pixabay.com/vi/vectors/t%C3%A0i-s%E1%BA%A3n-b%E1%BB%99-s%C6%B0u-t%E1%BA%ADp-tr%C3%B2-ch%C6%A1i-k%C3%ADnh-1296895/;Drink
" ""Wine""";an alcoholic drink made from the juice of grapes that has been left to ferment. There are many different kinds of wine.;https://pixabay.com/vi/vectors/r%C6%B0%E1%BB%A3u-thanh-n%C6%B0%E1%BB%9Bc-gi%E1%BA%A3i-kh%C3%A1t-blanc-1031713/;Drink
" ""Cocktail""";a drink usually made from a mixture of one or more spirits (= strong alcoholic drinks) and fruit juice. It can also be made without alcohol.;https://pixabay.com/vi/vectors/cocktail-margarita-martini-u%E1%BB%91ng-575631/;Drink
 USA ;United States of America;https://pixabay.com/vi/photos/american-c%E1%BB%9D-ch%C3%BAng-t%C3%B4i-c%E1%BB%9D-c%E1%BB%9D-m%E1%BB%B9-301164/;Country
 UK (United Kingdom);?United Kingdom;https://pixabay.com/vi/photos/anh-c%E1%BB%9D-ng%C3%B4n-ng%E1%BB%AF-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-uk-4474567/;Country
 Australia;?a large island country and continent in the south-west Pacific Ocean. Its capital city is Canberra;https://pixabay.com/vi/photos/qu%E1%BB%91c-kh%C3%A1nh-%C3%BAc-c%E1%BB%9D-%C3%BAc-b%C3%A3i-bi%E1%BB%83n-1134930/;Country
 Mexico;a country in southern North America;https://pixabay.com/vi/photos/c%E1%BB%9D-mexico-mexican-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-4550138/;Country
 India;?a country in southern Asia which used to be part of the British Empire. It became independent and a member of the Commonwealth in 1947.;https://pixabay.com/vi/photos/c%E1%BB%9D-%E1%BA%A5n-%C4%91%E1%BB%99-thi%C3%AAn-nhi%C3%AAn-qu%E1%BB%91c-k%E1%BB%B3-%E1%BA%A5n-%C4%91%E1%BB%99-3563332/;Country
 France;?a country in western Europe;https://pixabay.com/vi/photos/c%E1%BB%9D-ph%C3%A1p-ph%C3%A1p-c%E1%BB%9D-qu%E1%BB%91c-gia-1064395/;Country
 China;"a country of eastern Asia bordering on the Pacific; the most populous country in the world; a republic whose capital is Beijing ";https://pixabay.com/vi/photos/m%C3%A0u-%C4%91%E1%BB%8F-c%E1%BB%9D-ch%E1%BB%A7-ngh%C4%A9a-x%C3%A3-h%E1%BB%99i-1028364/;Country
 Germany;?a country in central Europe;https://pixabay.com/vi/photos/c%E1%BB%9D-%C4%91%E1%BB%A9c-m%C3%A0u-%C4%91en-%C4%91%E1%BB%8F-v%C3%A0ng-%C4%91%E1%BB%A9c-c%E1%BB%9D-3255128/;Country
 Japan;?a country consisting of a group of islands in eastern Asia;https://pixabay.com/vi/photos/%C3%A1-ch%C3%A2u-%C3%A1-m%C3%A0u-xanh-%C4%91%E1%BA%A5t-n%C6%B0%E1%BB%9Bc-c%E1%BB%9D-21442/;Country
 Thailand;a country in South East Asia;https://pixabay.com/vi/vectors/bi%C3%AAn-gi%E1%BB%9Bi-%C4%91%E1%BA%A5t-n%C6%B0%E1%BB%9Bc-c%E1%BB%9D-%C4%91%E1%BB%8Ba-l%C3%BD-2099230/;Country
" ""Jeans""";" ""trousers made of denim (= a type of strong cotton)""";https://pixabay.com/vi/photos/m%C3%A0u-%C4%91en-c%C5%A9-l%E1%BB%8Fng-l%E1%BA%BBo-qu%E1%BA%A7n-jean-1146793/;Clothes
" ""Kimono""";"a traditional Japanese piece of clothing like a long loose dress with wide sleeves (= parts covering the arms), worn on formal occasions; a dressing gown or robe in this style";https://pixabay.com/vi/photos/th%E1%BB%9Di-trang-nh%E1%BA%ADt-b%E1%BA%A3n-kimono-1025375/;Clothes
" ""Sari""";?a long piece of cloth that is wrapped around the body and worn as the main piece of clothing by women in South Asia;https://pixabay.com/vi/photos/saree-th%E1%BB%9Di-trang-l%E1%BB%A5a-v%C3%A1y-362756/;Clothes
" ""Trousers""";a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately;https://pixabay.com/vi/photos/c%E1%BA%ADu-b%C3%A9-ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-%C3%B4ng-ng%C6%B0%E1%BB%9Di-nam-3637094/;Clothes
" ""Jacket""";"a piece of clothing worn on the top half of the body over a shirt, etc. that has arms and fastens down the front; a short, light coat";https://pixabay.com/vi/photos/jacket-%C3%A1o-kho%C3%A1t-ngo%C3%A0i-b%E1%BA%B1ng-da-947395/;Clothes
" ""Dress""";a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles;https://pixabay.com/vi/photos/c%C3%B4-g%C3%A1i-v%C3%A1y-tr%E1%BA%AFng-ki%E1%BB%83u-t%C3%B3c-t%C3%B3c-1333640/;Clothes
" ""T-shirt""";an informal shirt, usually with short sleeves (= arms) no collar or buttons, or just a few buttons at the top;https://pixabay.com/vi/photos/gi%E1%BA%A3-l%E1%BA%ADp-t-shirt-gi%E1%BA%A3-m%C3%A0u-xanh-2710535/;Clothes
" ""Sweater""";a piece of clothing for the upper part of the body, made of wool or cotton, with long sleeves;https://pixabay.com/vi/photos/%C3%A1o-len-%C3%A1o-in-%E1%BA%A5n-m%C3%A0n-h%C3%ACnh-ngh%E1%BB%87-thu%E1%BA%ADt-1843619/;Clothes
" ""Sneaker""";a shoe that you wear for sports or as informal clothing;https://pixabay.com/vi/photos/gi%C3%A0y-ch%C3%A2n-sneaker-gi%C3%A0y-th%E1%BB%83-thao-1028790/;Clothes
" ""Sandal""";a type of light open shoe that is worn in warm weather. The top part consists of leather bands that fasten the sole to your foot.;https://pixabay.com/vi/photos/sandal-gi%C3%A0y-gi%C3%A0y-c%E1%BB%A7a-ph%E1%BB%A5-n%E1%BB%AF-1521473/;Clothes
" ""Forest""";a large area of land that is thickly covered with trees;https://pixabay.com/vi/photos/c%C3%A2y-con-%C4%91%C6%B0%E1%BB%9Dng-%C4%91%C6%B0%E1%BB%9Dng-m%C3%B2n-c%C5%A9-%C4%91%C6%B0%E1%BB%9Dng-2897757/;Natures
" ""Waterfall""";a place where a stream or river falls from a high place, for example over a cliff or rock;https://pixabay.com/vi/photos/triberg-th%C3%A1c-n%C6%B0%E1%BB%9Bc-r%E1%BB%ABng-%C4%91en-torrent-4984171/;Natures
" ""Desert""";?a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.;https://pixabay.com/vi/photos/sa-m%E1%BA%A1c-sahara-c%C3%A1t-c%E1%BA%A3nh-quan-kh%C3%B4-4134918/;Natures
" ""Flower"""; the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.;https://pixabay.com/vi/photos/mai-m%E1%BA%ADn-spring-flower-m%C3%B9a-xu%C3%A2n-4946160/;Natures
" ""Island""";a piece of land that is completely surrounded by water;https://pixabay.com/vi/photos/%C4%91%E1%BA%A3o-san-h%C3%B4-b%C3%A3i-bi%E1%BB%83n-c%C3%A2y-c%E1%BB%8D-k%E1%BB%B3-ngh%E1%BB%89-2178747/;Natures
" ""Lake""";a large area of water that is surrounded by land;https://pixabay.com/vi/photos/hallstatt-n%C3%BAi-%C3%A1o-lake-n%C3%BAi-cao-4495734/;Natures
" ""'Mountain";a very high hill, often with rocks near the top;https://pixabay.com/vi/photos/alps-%C4%91%E1%BA%A7u-n%C3%BAi-c%E1%BA%A3nh-quan-thi%C3%AAn-nhi%C3%AAn-4553488/;Natures
" ""Sunset"""; the time when the sun goes down and night begins;https://pixabay.com/vi/photos/ho%C3%A0ng-h%C3%B4n-bi%E1%BB%83n-b%E1%BA%A7u-tr%E1%BB%9Di-%C4%91%E1%BA%A1i-d%C6%B0%C6%A1ng-4376835/;Natures
" ""Moon""";" "" the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun""";https://pixabay.com/vi/photos/m%E1%BA%B7t-tr%C4%83ng-si%C3%AAu-m%E1%BA%B7t-tr%C4%83ng-tr%C4%83ng-tr%C3%B2n-5016058/;Natures
" ""Field""";" ""an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.""";https://pixabay.com/vi/photos/h%C3%A0-lan-field-ho%C3%A0ng-h%C3%B4n-n%C3%B4ng-nghi%E1%BB%87p-4530545/;Natures
